id,route,toll,median,female,age3050,distance,householdsize,high_income,med_income,occupanc,trans
4001883,0,2.9,-2.768373,1,1,35.31,3,0,0,2,0
4001915,0,3,-3.787047,0,1,47.04,5,0,1,1,0
4001952,1,3,-4.476566,1,1,26.7,4,0,1,1,1
4001953,1,3.25,-3.959355,0,1,24.68,4,0,1,1,1
4002055,1,1.95,-1.025752,0,1,43,5,0,1,1,1
4002106,0,1.65,-1.636129,0,1,38.48,5,0,1,1,1
4002128,0,2.9,-3.660866,0,1,30.13,2,0,1,2,1
4002140,0,3.25,-5.615552,1,1,26.44,2,0,0,1,1
4002162,0,3,-4.400308,0,1,29,3,0,0,1,0
4002257,0,3.25,-4.383059,0,0,16.18,2,0,0,2,0
4002281,0,3,-4.485382,1,0,22.45,3,0,1,1,1
4002317,0,3.25,-4.152752,0,1,37.05,5,0,1,2,1
4002333,0,3.25,-4.342789,0,1,23.72,5,0,0,1,1
4002350,0,2.9,-2.726185,0,1,20.39,6,0,0,2,0
4002395,0,3,-3.76112,1,0,10.18,4,0,1,1,0
4002430,0,3.25,-4.247431,0,0,30.25,2,0,1,1,0
4002436,0,2.9,-2.768373,1,1,29.51,5,0,1,1,0
4002491,0,1.625,-5.36457,1,1,14.17,4,0,1,3,1
4002497,0,3,-4.130122,1,1,29.99,3,0,1,2,1
4002498,0,2.9,-2.916433,1,0,27.63,5,0,1,1,0
4002509,1,3.25,-3.255713,1,1,24.57,5,0,1,1,1
4002529,0,3.25,-5.392725,0,0,33.46,2,0,1,1,0
4002615,0,2.9,-1.300702,0,0,34.51,6,0,0,1,1
4002680,0,2.9,-3.723625,0,1,32.27,3,1,0,1,1
4002749,0,0.975,-0.9206871,1,1,20.8,3,1,0,3,1
4002807,1,2.9,-3.477957,0,0,60.6,2,1,0,1,1
4002820,0,1.65,-1.130903,0,1,69.24,4,0,1,1,0
4002860,0,2.9,-3.735191,0,1,60.47,2,0,0,1,0
4002863,0,2.9,-3.232346,0,1,15.82,2,1,0,1,1
4002953,0,2.9,-2.881849,1,1,27.97,3,0,1,1,1
4003070,0,1.95,-0.9867115,0,1,19.11,2,0,0,1,1
4003115,1,3,-4.485382,0,1,36.76,1,0,0,2,1
4003186,0,3,-3.968006,1,1,25.6,5,0,1,1,1
4003266,1,3.25,-3.545216,0,1,26.09,5,0,1,1,1
4003306,0,3,-4.002598,0,0,55.76,4,0,1,1,1
4003312,1,3.25,-5.628882,0,1,32.72,4,0,1,2,1
4003425,0,2.9,-3.157621,0,1,22.34,6,1,0,1,1
4003430,0,2.9,-1.439796,0,1,36.27,1,0,0,1,0
4003608,0,1.95,-1.169607,0,1,43.61,4,0,1,1,0
4003628,0,2.9,-2.297617,0,0,26.41,2,0,0,1,1
4003677,1,3,-4.422228,0,1,22.47,5,1,0,1,1
4003732,0,1.5,-3.76112,0,1,29.52,5,0,0,3,0
4003761,1,2.9,-1.871945,0,1,32.99,4,1,0,1,1
4003781,0,3.25,-5.34896,1,0,16.53,4,0,0,1,1
4003827,1,1.625,-5.305177,0,0,29.99,3,1,0,3,1
4003844,0,0.825,-0.2124101,0,1,21.34,5,0,1,3,0
4003930,0,3,-3.82081,0,0,41.01,5,0,0,1,0
4003985,1,2.9,-3.243314,1,0,24.69,2,1,0,1,1
4003999,0,3,-3.82081,0,1,25.13,4,0,1,2,1
4004040,0,3,-4.477624,0,1,77.14,4,0,1,1,0
4004045,0,3,-2.24618,0,1,18.81,4,1,0,2,0
4004049,0,1.45,-2.366609,0,1,29.9,6,0,1,3,1
4004066,0,1.65,-0.7332996,0,1,56.59,4,0,1,1,0
4004135,0,2.9,-2.425672,1,1,38.36,4,1,0,2,1
4004243,0,1.65,-0.4959092,0,1,45.05,2,1,0,1,0
4004293,0,3.25,-3.255713,0,0,21.34,3,0,0,1,0
4004295,1,3.25,-5.253339,1,1,54.87,3,0,0,2,1
4004312,0,3,-3.869061,0,1,35.04,4,0,0,1,1
4004314,0,2.9,-1.165325,0,1,31.01,5,1,0,1,0
4004390,1,3,-3.968006,0,1,20.31,4,0,1,1,1
4004402,0,2.9,-3.243314,0,1,54.3,5,0,1,1,1
4004409,1,1.625,-4.342789,1,1,61.25,2,0,0,3,1
4004461,0,1.65,-0.6133173,0,1,26.41,5,0,0,1,0
4004505,0,3.25,-5.482712,1,0,22.52,5,0,0,1,0
4004654,0,3,-4.345901,0,1,39.7,7,0,0,2,0
4004721,0,2.9,-1.871945,0,1,16.57,6,0,1,1,0
4004811,1,1.95,-0.9528936,0,1,30.72,2,1,0,1,1
4004894,0,1.65,-0.456818,0,0,48.63,3,0,1,2,1
4004994,0,2.9,-1.773188,0,1,57,3,0,1,2,1
4005003,0,2.9,-3.750007,0,1,43.04,5,0,0,2,1
4005042,0,2.9,-3.742595,0,0,25.79,2,1,0,1,1
4005044,0,1.65,-1.103182,0,1,66.13,5,0,1,1,1
4005079,0,3,-3.976681,0,0,32.72,4,0,0,2,1
4005203,1,1.45,-3.742595,0,1,27.83,2,0,1,3,1
4005214,0,3.25,-3.959355,0,1,19.16,2,0,1,1,0
4005240,0,1.65,-1.636129,0,1,39.06,2,1,0,1,1
4005405,0,1.95,-0.9999965,0,0,45.62,3,1,0,1,0
4005411,0,2.9,-1.447919,0,1,31.41,5,0,0,1,1
4005573,0,1.65,-0.5056457,0,1,33.54,5,0,0,2,0
4005593,0,1.65,-0.5056457,0,0,27.66,3,1,0,1,1
4005607,0,1.65,-1.699988,0,1,67.9,3,1,0,1,1
4005618,1,3.25,-3.980981,0,1,39.62,3,0,1,1,1
4005650,0,1.95,-0.9620006,0,0,32.15,1,0,0,2,0
4005690,0,2.9,-1.586799,0,1,14.55,2,0,0,2,0
4005734,0,2.9,-1.846369,0,0,10.62,4,0,1,1,1
4005748,0,3.25,-4.880798,0,0,47.58,2,0,1,2,1
4005816,0,3.25,-5.52667,1,0,22.27,1,0,0,2,0
4005868,1,2.9,-3.477957,0,1,19.11,3,0,0,1,1
4005879,0,2.9,-3.660866,0,1,27.78,4,0,1,2,0
4005883,0,3.25,-5.519444,0,1,43.13,7,0,0,1,0
4005940,1,3,-3.863807,0,1,30.08,4,1,0,2,1
4005972,0,1.95,-1.012919,0,0,16.06,2,0,0,1,1
4005973,1,2.9,-2.740222,0,1,30.89,6,0,1,1,1
4006017,1,1.65,-1.18636,1,0,34.81,2,1,0,1,1
4006040,0,2.9,-3.232346,0,1,25.01,1,0,0,1,1
4006131,0,1.65,-1.241813,0,1,57,4,0,1,1,0
4006136,1,1.65,-1.18636,1,1,42.71,2,0,1,2,1
4006290,0,3.25,-4.762114,0,0,33.69,4,1,0,1,1
4006309,0,3,-3.946385,0,1,41.99,3,0,0,1,0
4006319,0,2.9,-3.750007,1,0,43.26,5,0,0,2,1
4006352,0,2.9,-3.67771,0,0,37.71,4,0,1,1,1
4006408,0,3,-3.798334,0,0,25.79,2,0,1,1,1
4006538,0,3,-3.933419,0,1,43.4,7,0,0,1,1
4006616,0,1.65,-1.18636,1,0,29.83,3,1,0,2,0
4006660,0,3.25,-5.482712,0,0,44.66,5,0,1,1,0
4006663,1,1.45,-3.715658,0,1,38.82,5,1,0,3,1
4006670,1,2.9,-2.090106,1,1,44.62,2,1,0,1,1
4010049,0,1.65,-1.699988,0,0,76.35,5,1,0,1,0
4010232,0,3.25,-4.952962,1,1,21.17,3,0,0,1,1
4010297,1,1.95,-0.9186119,1,1,76.35,2,0,1,1,1
4010305,1,2.9,-2.768373,1,1,50.45,7,1,0,2,1
4010323,0,1.65,-0.6912208,0,1,56.59,4,0,1,1,0
4010499,0,2.9,-3.255402,1,1,27.19,6,0,0,1,1
4010515,0,2.9,-2.366609,0,1,24.11,3,0,0,1,0
4010593,0,1.5,-3.976681,1,0,22.43,3,0,0,3,0
4010727,0,3,-2.047282,0,1,20.01,2,1,0,2,0
4010739,0,3.25,-3.255713,1,0,57.23,4,0,0,1,0
4010802,0,1.95,-0.922297,0,0,62.32,2,0,0,1,0
4010816,0,3.25,-4.762114,1,0,27.68,3,1,0,2,1
